Id,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s2_enrol,Y1s2_complete,Y2s1_enrol,Y2s1_complete,Y2s2_enrol,Y2s2_complete,Y3s1_enrol,Y3s1_complete,Y3s2_enrol,Y3s2_complete,Y4s1_enrol,Y4s1_complete,Y4s2_enrol,Y4s2_complete,Rest_enrol,Rest_complete,Failure
131386709,46,30,36.5,36.5,36,36,30,7.5,30,24,0,0,0,0,0,0,0,0,0,0,0
111354305,30,24,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0
111345828,30,40,26,26,20,10,32,32,34,34,30,25,30,30,0,0,0,0,0,0,0
131393682,0,6,20,14,12,0,14,14,54,12,32,24,40,22,28,28,42,36,0,0,0
131383677,41,36,36,19,48,30,33,9,48,6,30,0,36,0,0,0,0,0,0,0,0
131390060,30,42,30,20,30,30,33,30,42,15,0,0,0,0,0,0,0,0,0,0,1
131389177,5,5,41,0,22,12,34,23,47,24,32,21,36,30,32,6,36,6,131,41,0
111335866,0,10,30,30,30,30,30,30,30,20,30,30,30,30,30,30,30,30,0,0,0
131391546,34,32,35,29,34,28,30,19,30,30,0,0,0,0,0,0,0,0,0,0,0
131395471,36,54,30,0,42,6,0,0,0,0,12,0,60,0,29,5,42,0,409,43,1
131390235,12,19,41.5,29.5,36,17,35,23.5,34.5,23.5,34.5,17.5,36.5,19,30,7.5,30,11.5,0,0,0
111364543,30,24,30,30,30,30,32,32,30,30,30,28,30,30,0,0,0,0,0,0,0
111345846,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
131384749,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131388203,0,12,30,30,48,30,30,30,36,30,30,30,39,30,30,30,30,21,0,0,0
111345842,30,30,20,20,26,26,34,34,26,26,30,30,30,30,0,0,0,0,0,0,0
131383351,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393018,16,29.5,34,18,43,18,29.5,29.5,35,23.5,34.5,7,28,0,34,6,52.5,22.5,120.5,22,0
131382124,25,10,30,20,30,20,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0
131393932,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131391409,30,44,30,30,36,35,30,30,30,24,0,0,0,0,0,0,0,0,0,0,0
131390600,21,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131391031,33,24,33,0,24,0,22,10,24,0,30,9,30,18,30,12,30,18,0,0,1
131397121,24,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131388441,0,9,12,12,42,27,30,18,41.5,35.5,42,36,30,18.5,30,14,30,20,0,0,0
111335872,30,30,30,30,30,30,36,36,30,30,30,24,30,30,0,0,0,0,0,0,0
131383482,29,42,26,3,36,6,30,9,36,6,0,0,0,0,0,0,0,0,0,0,1
131396619,33,24,26,0,30,0,27,0,30,0,0,0,0,0,0,0,0,0,0,0,1
131396452,35,54,40,28,32,18,72,12,89,36,40,0,58,5,28,8,30,0,0,0,0
111345881,30,30,26,26,20,20,26,26,34,34,30,30,30,30,0,0,0,0,0,0,0
131392028,36,53,30,11.5,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131385753,30,24,30,24,42,36,30,18,36,30,0,0,0,0,0,0,0,0,0,0,0
131386582,18,18,28,28,36,26,35,30,36,30,30,15,30,24,0,0,0,0,0,0,0
131384682,26,30,0,0,0,0,32,0,36,0,27,0,42,0,30,3,42,0,0,0,1
131395273,30,30,30,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,1
131393714,14.5,7,41.5,29.5,35.5,28.5,36,24.5,34.5,28.5,30,24,30,26,0,0,0,0,0,0,0
131414632,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131399487,30,30,27.5,27.5,28.5,23.5,36.5,14.5,36.5,36.5,0,0,0,0,0,0,0,0,0,0,0
131387799,30,30,36,36,36,36,30,24,30,24,0,0,0,0,0,0,0,0,0,0,0
131386977,40,42,40.5,36.5,30,30,30,13.5,30,30,0,0,0,0,0,0,0,0,0,0,0
